import time: self [us] | cumulative | imported package
import time:       221 |        221 |                           msvcrt
import time:        33 |         33 |                           _posixsubprocess
import time:      2024 |       4054 |                         subprocess
import time:      2134 |       2134 |                           _ssl
import time:      2654 |       4788 |                         ssl
import time:       293 |        293 |                         asyncio.constants
import time:       180 |        180 |                         asyncio.coroutines
import time:       159 |        159 |                           asyncio.format_helpers
import time:       172 |        172 |                             asyncio.base_futures
import time:       246 |        246 |                             asyncio.exceptions
import time:       187 |        187 |                             asyncio.base_tasks
import time:       925 |       1529 |                           _asyncio
import time:       879 |       2565 |                         asyncio.events
import time:       299 |        299 |                         asyncio.futures
import time:       224 |        224 |                         asyncio.protocols
import time:       259 |        259 |                           asyncio.transports
import time:       162 |        162 |                           asyncio.log
import time:      1170 |       1590 |                         asyncio.sslproto
import time:       153 |        153 |                             asyncio.mixins
import time:       657 |        809 |                           asyncio.locks
import time:       296 |        296 |                             asyncio.queues
import time:       753 |        753 |                             asyncio.timeouts
import time:       806 |       1854 |                           asyncio.tasks
import time:       465 |       3128 |                         asyncio.staggered
import time:       176 |        176 |                         asyncio.trsock
import time:      3061 |      20352 |                       asyncio.base_events
import time:       333 |        333 |                       asyncio.runners
import time:       436 |        436 |                       asyncio.streams
import time:       256 |        256 |                       asyncio.subprocess
import time:       183 |        183 |                       asyncio.taskgroups
import time:       135 |        135 |                       asyncio.threads
import time:       271 |        271 |                         asyncio.base_subprocess
import time:       718 |        718 |                         asyncio.selector_events
import time:      1076 |       2064 |                       asyncio.unix_events
import time:      1346 |      25102 |                     asyncio
import time:     33040 |      33040 |                     wandb.sdk.lib.asyncio_compat
import time:    265569 |     323710 |                   wandb.sdk.lib.asyncio_manager
import time:      6392 |       6392 |                   wandb.sdk.lib.import_hooks
import time:      7791 |       7791 |                   wandb.sdk.lib.wb_logging
import time:      9065 |       9065 |                   wandb.sdk.lib.server
import time:      7234 |     615628 |                 wandb.sdk.wandb_setup
import time:      7555 |     623182 |               wandb.sdk.data_types.base_types.wb_value
import time:      8569 |     637870 |             wandb.sdk.data_types.base_types.media
import time:     83177 |    4066147 |           wandb.sdk.data_types.audio
import time:     82467 |      82467 |             wandb._strutils
import time:     33314 |     115781 |           wandb.sdk.data_types.bokeh
import time:       737 |        737 |             pprint
import time:     11337 |      12073 |           wandb.sdk.data_types.graph
import time:     11622 |      11622 |             wandb.sdk.data_types.helper_types
import time:      6725 |       6725 |             wandb.sdk.data_types.base_types.json_metadata
import time:      8597 |      26943 |           wandb.sdk.data_types.helper_types.bounding_boxes_2d
import time:      6832 |       6832 |           wandb.sdk.data_types.helper_types.classes
import time:     13736 |      13736 |           wandb.sdk.data_types.helper_types.image_mask
import time:     96487 |      96487 |           wandb.sdk.data_types.histogram
import time:      4916 |       4916 |           wandb.sdk.data_types.html
import time:      7869 |       7869 |               packaging
import time:     30122 |      30122 |               packaging._structures
import time:     13148 |      51138 |             packaging.version
import time:       801 |        801 |               mmap
import time:    119972 |     120772 |             wandb.sdk.lib.hashutil
import time:      6863 |     178772 |           wandb.sdk.data_types.image
import time:      6213 |       6213 |           wandb.sdk.data_types.molecule
import time:      6006 |       6006 |           wandb.sdk.data_types.object_3d
import time:      8402 |       8402 |           wandb.sdk.data_types.plotly
import time:      7983 |       7983 |           wandb.sdk.data_types.saved_model
import time:     46402 |      46402 |             wandb.sdk.data_types.table_decorators
import time:      7975 |       7975 |               wandb.sdk.internal.incremental_table_util
import time:     14145 |      22120 |             wandb.sdk.data_types.utils
import time:     36815 |     105336 |           wandb.sdk.data_types.table
import time:      9364 |       9364 |           wandb.sdk.data_types.trace_tree
import time:     20327 |      20327 |               wandb.sdk.lib.ipython
import time:     32061 |      32061 |               wandb.sdk.lib.sparkline
import time:     58818 |     111205 |             wandb.sdk.lib.printer
import time:     35790 |      35790 |             wandb.sdk.lib.printer_asyncio
import time:     37462 |     184457 |           wandb.sdk.data_types.video
import time:    134819 |    4984258 |         wandb.data_types
import time:     76652 |      76652 |         wandb._iterutils
import time:     12540 |      12540 |                 pydantic.functional_validators
import time:     49310 |      49310 |                 pydantic._internal._discriminated_union
import time:     30891 |      30891 |                 pydantic._internal._known_annotated_metadata
import time:     11529 |      11529 |                 pydantic._internal._schema_gather
import time:      8702 |     112971 |               pydantic._internal._generate_schema
import time:     16388 |      16388 |               pydantic._internal._signature
import time:     91762 |     221120 |             pydantic._internal._model_construction
import time:     54879 |      54879 |               wandb._pydantic.utils
import time:      8921 |       8921 |               pydantic.alias_generators
import time:     63562 |     127361 |             wandb._pydantic.v1_compat
import time:       291 |        291 |                 email
import time:       234 |        234 |                     zipfile._path.glob
import time:       611 |        845 |                   zipfile._path
import time:      1476 |       2320 |                 zipfile
import time:       344 |        344 |                 importlib.metadata._meta
import time:       287 |        287 |                 importlib.metadata._collections
import time:       152 |        152 |                 importlib.metadata._functools
import time:       150 |        150 |                 importlib.metadata._itertools
import time:       495 |        495 |                       importlib.resources.abc
import time:       542 |       1037 |                     importlib.resources._common
import time:       204 |        204 |                     importlib.resources._functional
import time:       424 |       1665 |                   importlib.resources
import time:       601 |       2266 |                 importlib.abc
import time:      2169 |       7976 |               importlib.metadata
import time:     35463 |      43438 |             pydantic.plugin._loader
import time:   1730407 |    2122325 |           wandb._pydantic.base
import time:     68823 |      68823 |           wandb._pydantic.field_types
import time:     43489 |      43489 |           wandb._pydantic.pagination
import time:     13727 |    2248362 |         wandb._pydantic
import time:     48899 |      48899 |                   http
import time:       659 |        659 |                       email.errors
import time:       238 |        238 |                           email.quoprimime
